indices,species,family,order
1,Black_footed_Albatross,Diomedeidae,Procellariiformes
2,Laysan_Albatross,Diomedeidae,Procellariiformes
3,Sooty_Albatross,Diomedeidae,Procellariiformes
4,Groove_billed_Ani,Cuculidae,Cuculiformes
5,Crested_Auklet,Alcidae,Charadriiformes
6,Least_Auklet,Alcidae,Charadriiformes
7,Parakeet_Auklet,Alcidae,Charadriiformes
8,Rhinoceros_Auklet,Alcidae,Charadriiformes
9,Brewer_Blackbird,Icteridae,Passeriformes
10,Red_winged_Blackbird,Icteridae,Passeriformes
11,Rusty_Blackbird,Icteridae,Passeriformes
12,Yellow_headed_Blackbird,Icteridae,Passeriformes
13,Bobolink,Icteridae,Passeriformes
14,Indigo_Bunting,Cardinalidae,Passeriformes
15,Lazuli_Bunting,Cardinalidae,Passeriformes
16,Painted_Bunting,Cardinalidae,Passeriformes
17,Cardinal,Cardinalidae,Passeriformes
18,Spotted_Catbird,Ptilonorhynchidae,Passeriformes
19,Gray_Catbird,Mimidae,Passeriformes
20,Yellow_breasted_Chat,Icteriidae,Passeriformes
21,Eastern_Towhee,Passerellidae,Passeriformes
22,Chuck_will_Widow,Caprimulgidae,Caprimulgiformes
23,Brandt_Cormorant,Phalacrocoracidae,Suliformes
24,Red_faced_Cormorant,Phalacrocoracidae,Suliformes
25,Pelagic_Cormorant,Phalacrocoracidae,Suliformes
26,Bronzed_Cowbird,Icteridae,Passeriformes
27,Shiny_Cowbird,Icteridae,Passeriformes
28,Brown_Creeper,Certhiidae,Passeriformes
29,American_Crow,Corvidae,Passeriformes
30,Fish_Crow,Corvidae,Passeriformes
31,Black_billed_Cuckoo,Cuculidae,Cuculiformes
32,Mangrove_Cuckoo,Cuculidae,Cuculiformes
33,Yellow_billed_Cuckoo,Cuculidae,Cuculiformes
34,Gray_crowned_Rosy_Finch,Fringillidae,Passeriformes
35,Purple_Finch,Fringillidae,Passeriformes
36,Northern_Flicker,Picidae,Piciformes
37,Acadian_Flycatcher,Tyrannidae,Passeriformes
38,Great_Crested_Flycatcher,Tyrannidae,Passeriformes
39,Least_Flycatcher,Tyrannidae,Passeriformes
40,Olive_sided_Flycatcher,Tyrannidae,Passeriformes
41,Scissor_tailed_Flycatcher,Tyrannidae,Passeriformes
42,Vermilion_Flycatcher,Tyrannidae,Passeriformes
43,Yellow_bellied_Flycatcher,Tyrannidae,Passeriformes
44,Frigatebird,Fregatidae,Suliformes
45,Northern_Fulmar,Procellariidae,Procellariiformes
46,Gadwall,Anatidae,Anseriformes
47,American_Goldfinch,Fringillidae,Passeriformes
48,European_Goldfinch,Fringillidae,Passeriformes
49,Boat_tailed_Grackle,Icteridae,Passeriformes
50,Eared_Grebe,Podicipedidae,Podicipediformes
51,Horned_Grebe,Podicipedidae,Podicipediformes
52,Pied_billed_Grebe,Podicipedidae,Podicipediformes
